id,composer,opus,number,historical_era,imslp_downloads,spotify_views
op10n1,Frédéric Chopin,10,1,Romantic,45538,24854
op10n2,Frédéric Chopin,10,2,Romantic,23102,11127
op10n4,Frédéric Chopin,10,4,Romantic,40919,22826
op10n5,Frédéric Chopin,10,5,Romantic,34189,14104
op10n8,Frédéric Chopin,10,8,Romantic,18073,7483
op10n9,Frédéric Chopin,10,9,Romantic,18600,11056
op10n10,Frédéric Chopin,10,10,Romantic,16088,6682
op10n12,Frédéric Chopin,10,12,Romantic,64528,24280
op25n1,Frédéric Chopin,25,1,Romantic,35956,21364
op25n5,Frédéric Chopin,25,5,Romantic,18295,30323
op25n6,Frédéric Chopin,25,6,Romantic,15181,6648
op25n10,Frédéric Chopin,25,10,Romantic,13916,5669
op25n11,Frédéric Chopin,25,11,Romantic,35640,43928
op25n12,Frédéric Chopin,25,12,Romantic,38092,13069
op8n10_scriabin,Alexander Scriabin,8,10,Romantic,5844,5689
op136n6_debussy,Claude Debussy,136,6,Impressionist,24334,15191
op136n11_debussy,Claude Debussy,136,11,Impressionist,1950,6216
op136n12_debussy,Claude Debussy,136,12,Impressionist,24334,4556
op145n1_liszt,Franz Liszt,145,1,Romantic,2127,13738
op145n2_liszt,Franz Liszt,145,2,Romantic,2810,15402
op144n2_liszt,Franz Liszt,144,2,Romantic,4911,70410
op144n3_liszt,Franz Liszt,144,3,Romantic,14433,1548856
op141n3_liszt,Franz Liszt,141,3,Romantic,36279,15067734
op139n1_liszt,Franz Liszt,139,1,Romantic,31064,212892
op139n2_liszt,Franz Liszt,139,2,Romantic,31064,163522
op139n3_liszt,Franz Liszt,139,3,Romantic,2073,133738
op139n4_liszt,Franz Liszt,139,4,Romantic,2874,408321
op139n5_liszt,Franz Liszt,139,5,Romantic,1849,153794
op139n8_liszt,Franz Liszt,139,8,Romantic,4860,122794
op139n10_liszt,Franz Liszt,139,10,Romantic,2022,107344
op139n11_liszt,Franz Liszt,139,11,Romantic,4739,91887
op139n12_liszt,Franz Liszt,139,12,Romantic,17253,1072070
